page,link,author,source,title,date,category,subcategory
0701,https://github.com/lilbud/btx-article-dump/articles/concert_review/1985-08-06_jfk_stadium_aug_5_1985_[0701].md,Richard Harrington,The Washington Post,"JFK Stadium Aug 5, 1985",1985-08-06,Concert Review,
0702,https://github.com/lilbud/btx-article-dump/articles/album_review/tunnel_of_love/1987-10-03_steve-pond_rolling-stone_[0702].md,Steve Pond,Rolling Stone,Tunnel of Love Review,1987-10-03,Album Review,Tunnel Of Love
0703,https://github.com/lilbud/btx-article-dump/articles/interview/1985-10-10_made_in_the_usa_[0703].md,Joseph Dalton,Rolling Stone,Made In The USA,1985-10-10,Interview,
0704,https://github.com/lilbud/btx-article-dump/articles/interview/1992-08-06_bruce_springsteen_leaves_e_street_[0704].md,James Henke,Rolling Stone,Bruce Springsteen Leaves E Street,1992-08-06,Interview,
0705,https://github.com/lilbud/btx-article-dump/articles/interview/1986-02-27_bruce_springsteen_s_long_and_winding_[0705].md,David Fricke,Rolling Stone,Bruce Springsteen's Long and Winding Road,1986-02-27,Interview,
0706,https://github.com/lilbud/btx-article-dump/articles/interview/1988-05-05_bruce_springsteen_s_tunnel_vision_[0706].md,Steve Pond,Rolling Stone,Bruce Springsteen's 'Tunnel' Vision,1988-05-05,Interview,
0707,https://github.com/lilbud/btx-article-dump/articles/interview/2002-08-22_bruce_springsteen_s_american_gospel_[0707].md,Mark Binelli,Rolling Stone,Bruce Springsteen's American Gospel,2002-08-22,Interview,
0708,https://github.com/lilbud/btx-article-dump/articles/interview/2007-11-01_bruce_springsteen_the_rolling_stone_[0708].md,Joe Levy,Rolling Stone,Bruce Springsteen: The Rolling Stone Interview,2007-11-01,Interview,
0709,https://github.com/lilbud/btx-article-dump/articles/interview/2009-02-09_bringing_it_all_back_home_[0709].md,David Fricke,Rolling Stone,Bringing It All Back Home,2009-02-09,Interview,
0710,https://github.com/lilbud/btx-article-dump/articles/interview/2004-10-14_bruce_springsteen_we_ve_been_misled_[0710].md,Jann S. Wenner,Rolling Stone,Bruce Springsteen: 'We've Been Misled',2004-10-14,Interview,
0711,https://github.com/lilbud/btx-article-dump/articles/interview/2012-03-29_bruce_springsteen_s_state_of_the_union_[0711].md,Jon Stewart,Rolling Stone,Bruce Springsteen's State of the Union,2012-03-29,Interview,
0712,https://github.com/lilbud/btx-article-dump/articles/commentary/1990-11-15_bruce_springsteen_voice_of_the_decade_[0712].md,Mikal Gilmore,Rolling Stone,Bruce Springsteen: Voice of the Decade,1990-11-15,Commentary,
0713,https://github.com/lilbud/btx-article-dump/articles/album_review/live_1975-85/1986-11-10_david-fricke_rolling-stone_[0713].md,David Fricke,Rolling Stone,Live 1975-1985 Review,1986-11-10,Album Review,Live 1975-85
0714,https://github.com/lilbud/btx-article-dump/articles/interview/1987-11-05_the_rolling_stone_20th_anniversary_bruce_[0714].md,Mikal Gilmore,Rolling Stone,The Rolling Stone 20th Anniversary Interview: Bruce Springsteen,1987-11-05,Interview,
0715,https://github.com/lilbud/btx-article-dump/articles/interview/1980-11-27_bruce_springsteen_the_boss_is_back_[0715].md,Fred Schruers,Rolling Stone,Bruce Springsteen: The Boss Is Back,1980-11-27,Interview,
0716,https://github.com/lilbud/btx-article-dump/articles/album_review/the_promise/2010-11-25_brian-hiatt_rolling-stone_[0716].md,Brian Hiatt,Rolling Stone,Bruce Springsteen: 'Darkness' Revisited,2010-11-25,Album Review,The Promise
0717,https://github.com/lilbud/btx-article-dump/articles/album_review/born_in_the_u.s.a/1984-07-19_debby-miller_rolling-stone_[0717].md,Debby Miller,Rolling Stone,Born in the U.S.A. Review,1984-07-19,Album Review,Born In The U.S.A.
0718,https://github.com/lilbud/btx-article-dump/articles/album_review/nebraska/1982-10-28_steve-pond_rolling-stone_[0718].md,Steve Pond,Rolling Stone,Nebraska Review,1982-10-28,Album Review,Nebraska
0719,https://github.com/lilbud/btx-article-dump/articles/album_review/the_river/1980-12-11_paul-nelson_rolling-stone_[0719].md,Paul Nelson,Rolling Stone,The River Review,1980-12-11,Album Review,The River
0720,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/1978-07-27_dave-marsh_rolling-stone_[0720].md,Dave Marsh,Rolling Stone,Darkness On The Edge of Town Review,1978-07-27,Album Review,Darkness On The Edge Of Town
0722,"https://github.com/lilbud/btx-article-dump/articles/album_review/the_wild,_the_innocent_the_e_street_shuffle/1974-01-31_ken-emerson_rolling-stone_[0722].md",Ken Emerson,Rolling Stone,"The Wild, The Innocent & The E Street Shuffle Review",1974-01-31,Album Review,"The Wild, The Innocent & The E Street Shuffle"
0723,https://github.com/lilbud/btx-article-dump/articles/album_review/greetings_from_asbury_park_n.j/1973-07-05_lester-bangs_rolling-stone_[0723].md,Lester Bangs,Rolling Stone,"Greetings From Asbury Park, NJ Review",1973-07-05,Album Review,"Greetings From Asbury Park, N.J."
